Customer ID,Churn,RecencyDays,PurchaseFrequency,MonetaryValue,AverageOrderValue,CustomerTenureDays,UniqueProducts,AverageQuantityPerOrder,MedianPurchaseGap,MeanPurchaseGap,ReturnTransactionCount,ReturnedQuantity,ReturnedValue,IsRepeatCustomer,ReturnTransactionRate,ProductsPerOrder,PurchaseActivityRate,ChurnProbability,RiskSegment,HighValueCustomer,RetentionPriority,RecommendedAction
13085,0,114.95347222222222,7,2295.3,327.90000000000003,558.2118055555555,46,128.57142857142858,57.0,147.66666666666666,2.0,109.0,973.82,1,0.2857142857142857,6.571428571428571,0.0125176184237487,0.28789073,Medium,1,Monitor,Continue monitoring and regular customer engagement
13078,0,20.028472222222224,41,20857.28,508.7141463414634,558.1555555555556,131,191.26829268292684,12.0,13.794871794871796,29.0,105.0,576.01,1,0.7073170731707317,3.1951219512195124,0.0733248549399888,0.043570515,Low,1,Monitor,Continue monitoring and regular customer engagement
15362,1,268.0923611111112,2,613.08,306.54,558.1541666666667,38,184.0,290.0,290.0,0.0,0.0,0.0,1,0.0,19.0,0.0035768310767006,0.6087768,High,0,Medium Priority,Automated re-engagement reminder or promotional campaign
18102,0,2.807638888888889,102,413459.37,4053.5232352941175,558.1430555555555,310,1357.7450980392157,7.0,11.1,7.0,1229.0,7545.83,1,0.0686274509803921,3.0392156862745097,0.1824220098712563,0.02488985,Low,1,Monitor,Continue monitoring and regular customer engagement
12682,0,11.970833333333331,32,15947.69,498.3653125,558.1402777777778,251,224.71875,15.0,17.612903225806452,1.0,9.0,88.1,1,0.03125,7.84375,0.0572307187870267,0.03015152,Low,1,Monitor,Continue monitoring and regular customer engagement
18087,0,110.08819444444444,16,13908.72,869.295,558.1298611111112,43,485.875,27.0,37.333333333333336,3.0,59.0,105.1,1,0.1875,2.6875,0.0286158925016177,0.16795436,Low,1,Monitor,Continue monitoring and regular customer engagement
13635,0,262.1138888888889,3,1928.13,642.71,558.1277777777777,89,402.3333333333333,148.0,148.0,2.0,15.0,50.94,1,0.6666666666666666,29.666666666666668,0.0053654998360541,0.5049343,Medium,0,Monitor,Continue monitoring and regular customer engagement
14110,0,39.96597222222222,23,9006.32,391.5791304347826,558.125,148,181.30434782608697,16.0,24.666666666666668,2.0,12.0,30.35,1,0.0869565217391304,6.434782608695652,0.041135703107534,0.049714476,Low,1,Monitor,Continue monitoring and regular customer engagement
12636,1,558.1215277777778,1,141.0,141.0,558.1215277777778,1,1.0,61.0,70.81666666666666,0.0,0.0,0.0,0,0.0,1.0,0.0017885199376502,0.9128503,Critical,0,High Priority,Targeted re-engagement campaign with personalised offer
17519,0,26.10833333333333,12,3885.75,323.8125,558.1201388888888,124,213.33333333333331,52.0,48.36363636363637,2.0,4.0,6.669999999999999,1,0.1666666666666666,10.333333333333334,0.0214622925653277,0.042267494,Low,1,Monitor,Continue monitoring and regular customer engagement
13758,0,20.90138888888889,13,7859.1,604.5461538461539,558.1138888888889,199,332.0,33.0,44.75,4.0,9.0,153.84,1,0.3076923076923077,15.307692307692308,0.023251076852758,0.03226552,Low,1,Monitor,Continue monitoring and regular customer engagement
12362,0,45.15138888888889,3,1104.34,368.1133333333334,558.1111111111111,52,168.33333333333334,256.5,256.5,1.0,2.0,4.9,1,0.3333333333333333,17.333333333333332,0.0053656597774244,0.48008996,Medium,0,Monitor,Continue monitoring and regular customer engagement
15413,1,511.05347222222224,5,6798.72,1359.744,558.1055555555556,20,538.8,7.0,11.75,2.0,2.0,9330.1,1,0.4,4.0,0.0089428551555559,0.862166,Critical,1,Immediate Action,Personalised retention outreach with high-value incentive
16321,0,124.90277777777776,5,454.55,90.91,558.0930555555556,14,37.4,112.0,144.33333333333334,2.0,121.0,264.05,1,0.4,2.8,0.0089430550966719,0.5766675,High,0,Medium Priority,Automated re-engagement reminder or promotional campaign
16167,1,233.88680555555555,5,1386.12,277.22400000000005,558.0861111111111,51,298.8,121.0,108.0,1.0,35.0,236.25,1,0.2,10.2,0.0089431661789328,0.56678545,High,0,Medium Priority,Automated re-engagement reminder or promotional campaign
17865,0,24.059722222222224,33,19947.53,604.470606060606,558.0840277777778,326,290.09090909090907,18.0,21.36,12.0,117.0,485.09,1,0.3636363636363636,9.87878787878788,0.0590251167273851,0.025869217,Low,1,Monitor,Continue monitoring and regular customer engagement
17592,1,558.0840277777778,1,148.3,148.3,558.0840277777778,13,38.0,61.0,70.81666666666666,1.0,38.0,148.3,0,1.0,13.0,0.0017886399008298,0.92642796,Critical,0,High Priority,Targeted re-engagement campaign with personalised offer
13767,0,22.94375,58,23924.5,412.4913793103448,558.0819444444444,112,177.8448275862069,7.0,11.88888888888889,16.0,59.0,239.7,1,0.2758620689655172,1.9310344827586208,0.1037415008235227,0.031640194,Low,1,Monitor,Continue monitoring and regular customer engagement
